Sl No,Emplid,Campus ID,QUIZ 1
623,41120250304,2025AAPS0304H,2
624,41120250305,2025AAPS0305H,4
625,41120250307,2025AAPS0307H,2
626,41120250308,2025AAPS0308H,6
627,41120250309,2025AAPS0309H,2
628,41120250310,2025AAPS0310H,10
629,41120250311,2025AAPS0311H,8
630,41120250312,2025AAPS0312H,0
631,41120250313,2025AAPS0313H,2
632,41120250315,2025AAPS0315H,0
633,41120250318,2025AAPS0318H,12
634,41120250320,2025AAPS0320H,
635,41120251021,2025AAPS1021H,0
636,41120251325,2025AAPS1325H,12
637,41120251333,2025AAPS1333H,4
638,41120252020,2025AAPS2020H,2
639,41120252022,2025AAPS2022H,0
640,41120252024,2025AAPS2024H,2
641,41120252025,2025AAPS2025H,4
642,41120252028,2025AAPS2028H,0
643,41120252033,2025AAPS2033H,6
644,41120252034,2025AAPS2034H,16
645,41120252035,2025AAPS2035H,0
646,41120252037,2025AAPS2037H,
647,41120252040,2025AAPS2040H,4
648,41120252043,2025AAPS2043H,0
649,41120252045,2025AAPS2045H,0
650,41120252046,2025AAPS2046H,2
651,41120252050,2025AAPS2050H,0
652,41120252201,2025AARM2201H,4
653,41120252202,2025AARM2202H,2
654,41120252203,2025AARM2203H,10
655,41120252204,2025AARM2204H,2
656,41120252205,2025AARM2205H,4
657,41120252207,2025AARM2207H,8
658,41120252208,2025AARM2208H,2
659,41120252209,2025AARM2209H,12
660,41120252210,2025AARM2210H,0
661,41120252212,2025AARM2212H,8
662,41120252213,2025AARM2213H,0
663,41120252215,2025AARM2215H,6
664,41120252218,2025AARM2218H,2
665,41120252219,2025AARM2219H,8
666,41120252221,2025AARM2221H,0
667,41120252222,2025AARM2222H,0
668,41120252223,2025AARM2223H,2
669,41120252224,2025AARM2224H,0
670,41120252225,2025AARM2225H,4
671,41120252226,2025AARM2226H,0
672,41120252227,2025AARM2227H,0
673,41120252228,2025AARM2228H,4
674,41120252229,2025AARM2229H,6
675,41120252230,2025AARM2230H,0
676,41120252231,2025AARM2231H,0
677,41120252232,2025AARM2232H,
678,41120252233,2025AARM2233H,2
679,41120252234,2025AARM2234H,4
680,41120252235,2025AARM2235H,0
681,41120252236,2025AARM2236H,4
682,41120252237,2025AARM2237H,4
683,41120252238,2025AARM2238H,0
684,41120252240,2025AARM2240H,4
685,41120252264,2025AARM2264H,0
686,41120252265,2025AARM2265H,
687,41120253006,2025ADMM3006H,6
688,41120250123,2025ADPS0123H,
689,41120250124,2025ADPS0124H,12
690,41120250125,2025ADPS0125H,6
691,41120250126,2025ADPS0126H,6
692,41120250127,2025ADPS0127H,0
693,41120250128,2025ADPS0128H,12
694,41120250129,2025ADPS0129H,10
695,41120250130,2025ADPS0130H,2
696,41120250131,2025ADPS0131H,10
697,41120250132,2025ADPS0132H,8
698,41120250133,2025ADPS0133H,12
699,41120250134,2025ADPS0134H,6
700,41120250135,2025ADPS0135H,8
701,41120250138,2025ADPS0138H,0
702,41120250139,2025ADPS0139H,8
703,41120250141,2025ADPS0141H,12
704,41120250142,2025ADPS0142H,2
705,41120250144,2025ADPS0144H,0
706,41120250146,2025ADPS0146H,12
707,41120250149,2025ADPS0149H,
708,41120250152,2025ADPS0152H,0
709,41120250153,2025ADPS0153H,6
710,41120250160,2025ADPS0160H,0
711,41120250162,2025ADPS0162H,6
712,41120250164,2025ADPS0164H,6
713,41120250181,2025ADPS0181H,6
714,41120250185,2025ADPS0185H,8
715,41120250191,2025ADPS0191H,8
716,41120250192,2025ADPS0192H,2
717,41120250195,2025ADPS0195H,0
718,41120250205,2025ADPS0205H,2
719,41120250210,2025ADPS0210H,0
720,41120250212,2025ADPS0212H,2
721,41120250214,2025ADPS0214H,16
722,41120250216,2025ADPS0216H,
723,41120250218,2025ADPS0218H,0
724,41120250219,2025ADPS0219H,6
725,41120250221,2025ADPS0221H,0
726,41120250223,2025ADPS0223H,2
727,41120250899,2025ADPS0899H,12
728,41120250907,2025ADPS0907H,2
729,41120251324,2025ADPS1324H,2
730,41120251334,2025ADPS1334H,4
731,41120251336,2025ADPS1336H,16
732,41120251461,2025ADPS1461H,2
733,41120252004,2025ADPS2004H,0
734,41120252015,2025ADPS2015H,2
735,41120252026,2025ADPS2026H,8
736,41120252027,2025ADPS2027H,0
737,41120252031,2025ADPS2031H,0
738,41120252041,2025ADPS2041H,0
739,41120252042,2025ADPS2042H,2
740,41120250823,2025AJPS0823H,4
741,41120250862,2025AJPS0862H,4
742,41120250863,2025AJPS0863H,8
743,41120250864,2025AJPS0864H,4
744,41120250867,2025AJPS0867H,
745,41120250869,2025AJPS0869H,10
746,41120250870,2025AJPS0870H,2
747,41120250871,2025AJPS0871H,0
748,41120250872,2025AJPS0872H,2
749,41120250873,2025AJPS0873H,0
750,41120250875,2025AJPS0875H,6
751,41120250876,2025AJPS0876H,6
752,41120250877,2025AJPS0877H,2
753,41120250878,2025AJPS0878H,4
754,41120250880,2025AJPS0880H,6
755,41120250881,2025AJPS0881H,6
756,41120250884,2025AJPS0884H,8
757,41120250885,2025AJPS0885H,0
758,41120250886,2025AJPS0886H,
759,41120250887,2025AJPS0887H,0
760,41120250888,2025AJPS0888H,2
761,41120250889,2025AJPS0889H,
762,41120250890,2025AJPS0890H,0
763,41120250892,2025AJPS0892H,0
764,41120250911,2025AJPS0911H,4
765,41120251222,2025AJPS1222H,0
766,41120251514,2025AJPS1514H,18
767,41120251516,2025AJPS1516H,0
768,41120250731,2025B1PS0731H,4
769,41120250732,2025B1PS0732H,6
770,41120250734,2025B1PS0734H,6
771,41120250735,2025B1PS0735H,4
772,41120250736,2025B1PS0736H,6
773,41120250737,2025B1PS0737H,2
774,41120250738,2025B1PS0738H,2
775,41120250742,2025B1PS0742H,2
776,41120250744,2025B1PS0744H,6
777,41120250747,2025B1PS0747H,
778,41120250750,2025B1PS0750H,2
779,41120250752,2025B1PS0752H,0
780,41120250759,2025B1PS0759H,12
781,41120250762,2025B1PS0762H,8
782,41120250764,2025B1PS0764H,2
783,41120250765,2025B1PS0765H,4
784,41120250767,2025B1PS0767H,10
785,41120250768,2025B1PS0768H,8
786,41120251094,2025B1PS1094H,6
787,41120251096,2025B1PS1096H,10
788,41120251097,2025B1PS1097H,6
789,41120251105,2025B1PS1105H,
790,41120251106,2025B1PS1106H,0
791,41120251275,2025B1PS1275H,2
792,41120251276,2025B1PS1276H,4
793,41120251279,2025B1PS1279H,2
794,41120251310,2025B1PS1310H,0
795,41120251359,2025B1PS1359H,10
796,41120251363,2025B1PS1363H,10
797,41120251365,2025B1PS1365H,0
798,41120251366,2025B1PS1366H,0
799,41120251437,2025B1PS1437H,2
800,41120251494,2025B1PS1494H,6
801,41120252030,2025B1PS2030H,2
802,41120252062,2025B1PS2062H,0
803,41120250689,2025B2PS0689H,2
804,41120250692,2025B2PS0692H,4
805,41120250693,2025B2PS0693H,0
806,41120250699,2025B2PS0699H,2
807,41120250700,2025B2PS0700H,4
808,41120250703,2025B2PS0703H,6
809,41120250724,2025B2PS0724H,10
810,41120250748,2025B2PS0748H,4
811,41120250756,2025B2PS0756H,4
812,41120251131,2025B2PS1131H,0
813,41120251133,2025B2PS1133H,4
814,41120251139,2025B2PS1139H,0
815,41120251149,2025B2PS1149H,0
816,41120251151,2025B2PS1151H,0
817,41120251152,2025B2PS1152H,6
818,41120251155,2025B2PS1155H,0
819,41120251156,2025B2PS1156H,4
820,41120251157,2025B2PS1157H,8
821,41120251158,2025B2PS1158H,2
822,41120251278,2025B2PS1278H,2
823,41120251280,2025B2PS1280H,6
824,41120251311,2025B2PS1311H,2
825,41120251313,2025B2PS1313H,8
826,41120251316,2025B2PS1316H,0
827,41120251318,2025B2PS1318H,2
828,41120251319,2025B2PS1319H,14
829,41120251347,2025B2PS1347H,0
830,41120251360,2025B2PS1360H,10
831,41120251361,2025B2PS1361H,12
832,41120251364,2025B2PS1364H,0
833,41120251367,2025B2PS1367H,4
834,41120251368,2025B2PS1368H,0
835,41120251369,2025B2PS1369H,
836,41120251370,2025B2PS1370H,0
837,41120251371,2025B2PS1371H,0
838,41120251372,2025B2PS1372H,4
839,41120251373,2025B2PS1373H,2
840,41120251374,2025B2PS1374H,2
841,41120251375,2025B2PS1375H,16
842,41120251376,2025B2PS1376H,0
843,41120251448,2025B2PS1448H,0
844,41120251498,2025B2PS1498H,6
845,41120251501,2025B2PS1501H,0
846,41120251502,2025B2PS1502H,
847,41120250348,2025B3PS0348H,6
848,41120250351,2025B3PS0351H,0
